iter	Passed	Remaining
0	213	212880
1	233	116732
2	248	82461
3	262	65307
4	271	54103
5	283	46984
6	296	42062
7	308	38315
8	319	35177
9	331	32863
10	345	31043
11	357	29440
12	367	27905
13	380	26780
14	394	25899
15	410	25254
16	423	24506
17	434	23680
18	446	23069
19	462	22642
20	475	22181
21	489	21744
22	500	21258
23	515	20961
24	529	20664
25	547	20526
26	563	20307
27	578	20080
28	593	19869
29	608	19664
30	623	19484
31	637	19282
32	647	18966
33	659	18746
34	673	18571
35	686	18387
36	696	18126
37	707	17919
38	720	17758
39	732	17587
40	743	17391
41	755	17238
42	768	17113
43	778	16922
44	789	16745
45	801	16624
46	814	16510
47	823	16341
48	837	16248
49	851	16180
50	867	16149
51	882	16097
52	897	16032
53	911	15968
54	921	15828
55	934	15749
56	948	15684
57	961	15615
58	971	15489
59	983	15410
60	996	15344
61	1010	15289
62	1026	15264
63	1043	15263
64	1054	15171
65	1069	15137
66	1085	15114
67	1099	15069
68	1112	15013
69	1127	14984
70	1139	14909
71	1150	14827
72	1163	14770
73	1176	14718
74	1185	14625
75	1197	14558
76	1210	14506
77	1221	14441
78	1231	14360
79	1245	14320
80	1258	14279
81	1267	14193
82	1279	14132
83	1292	14095
84	1305	14058
85	1315	13980
86	1327	13928
87	1340	13892
88	1352	13844
89	1364	13792
90	1377	13763
91	1392	13742
92	1405	13705
93	1415	13640
94	1428	13607
95	1440	13566
96	1452	13521
97	1462	13462
98	1476	13435
99	1490	13410
100	1502	13377
101	1511	13309
102	1524	13273
103	1536	13238
104	1545	13176
105	1558	13147
106	1571	13118
107	1584	13089
108	1594	13030
109	1606	12994
110	1619	12970
111	1632	12941
112	1642	12889
113	1655	12866
114	1669	12844
115	1680	12809
116	1692	12769
117	1703	12736
118	1716	12708
119	1726	12658
120	1737	12622
121	1750	12595
122	1761	12558
123	1771	12517
124	1784	12491
125	1797	12468
126	1807	12422
127	1819	12393
128	1832	12372
129	1845	12348
130	1854	12302
131	1868	12284
132	1881	12264
133	1893	12235
134	1903	12194
135	1915	12169
136	1928	12150
137	1938	12105
138	1949	12077
139	1963	12059
140	1975	12034
141	1985	11993
142	1998	11974
143	2011	11955
144	2020	11913
145	2031	11885
146	2044	11865
147	2058	11850
148	2068	11815
149	2082	11799
150	2095	11782
151	2108	11762
152	2117	11722
153	2132	11712
154	2147	11707
155	2161	11695
156	2176	11687
157	2192	11683
158	2209	11685
159	2223	11672
160	2236	11656
161	2253	11656
162	2265	11631
163	2279	11619
164	2296	11619
165	2311	11614
166	2325	11600
167	2341	11593
168	2357	11589
169	2370	11574
170	2380	11540
171	2394	11528
172	2407	11510
173	2422	11498
174	2434	11475
175	2443	11442
176	2456	11421
177	2469	11404
178	2483	11390
179	2494	11365
180	2509	11352
181	2523	11341
182	2537	11329
183	2551	11316
184	2564	11299
185	2575	11272
186	2591	11265
187	2604	11251
188	2620	11242
189	2634	11231
190	2648	11217
191	2659	11192
192	2672	11176
193	2686	11161
194	2701	11151
195	2716	11141
196	2730	11130
197	2741	11103
198	2754	11088
199	2768	11074
200	2783	11063
201	2797	11049
202	2810	11033
203	2821	11010
204	2835	10997
205	2849	10982
206	2863	10968
207	2876	10951
208	2886	10926
209	2900	10911
210	2915	10902
211	2930	10893
212	2945	10884
213	2956	10859
214	2968	10837
215	2982	10823
216	2995	10808
217	3009	10794
218	3021	10775
219	3035	10761
220	3048	10744
221	3061	10729
222	3074	10712
223	3085	10689
224	3100	10678
225	3114	10666
226	3129	10655
227	3143	10645
228	3158	10634
229	3171	10618
230	3183	10598
231	3196	10582
232	3210	10567
233	3224	10555
234	3238	10543
235	3250	10521
236	3263	10506
237	3276	10490
238	3289	10473
